name_clean,platform_clean,year_clean,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
frogger: ancient shadow,gc,2005,Platform,Konami Digital Entertainment,0.05,54.0,9.0,tbd,
frogger: ancient shadow,ps2,2005,Platform,Konami Digital Entertainment,0.1,54.0,17.0,4,5.0
frogger: ancient shadow,xb,2005,Platform,Konami Digital Entertainment,0.03,47.0,11.0,tbd,
frogger: helmet chaos,ds,2005,Platform,Konami Digital Entertainment,0.06,69.0,10.0,tbd,
frogger: helmet chaos,psp,2005,Platform,Konami Digital Entertainment,0.11,66.0,18.0,6.4,5.0
frogger: the great quest,ps2,2001,Platform,Konami Digital Entertainment,1.23,32.0,6.0,4.6,29.0
frogs and flies,2600,1981,Action,Mattel Interactive,0.36,,,,
from russia with love,gc,2005,Action,Electronic Arts,0.22,70.0,20.0,8.5,13.0
from russia with love,ps2,2005,Action,Electronic Arts,0.41,69.0,29.0,7.6,36.0
from russia with love,psp,2006,Action,Electronic Arts,0.08,61.0,33.0,6.9,12.0
from russia with love,xb,2005,Action,Electronic Arts,0.2,71.0,34.0,8.8,12.0
from the abyss,ds,2008,Role-Playing,Nobilis,0.06,59.0,9.0,8,5.0
from tv animation one piece: grand battle 2,ps,2002,Fighting,Namco Bandai Games,0.6,,,,
from tv animation one piece: grand battle! 3,gc,2003,Fighting,Namco Bandai Games,0.2,,,,
from tv animation one piece: grand battle! 3,ps2,2003,Fighting,Namco Bandai Games,0.32,,,,
from tv animation one piece: tobidase kaizokudan!,ps,2001,Role-Playing,Namco Bandai Games,0.35,,,,
from tv animation one piece: treasure battle!,gc,2002,Fighting,Namco Bandai Games,0.29,,,,
from tv animation one piece: yume no lufy kaizokudan tanjou!,gb,2001,Role-Playing,Banpresto,0.39,,,,
front line,2600,1981,Action,Taito,0.24,,,,
front mission,ds,2007,Strategy,Square Enix,0.04,72.0,19.0,8.9,9.0
front mission,snes,1995,Strategy,SquareSoft,0.6,,,,
front mission 2,ps,1997,Strategy,SquareSoft,0.53,,,,
front mission 2089: border of madness,ds,2008,Strategy,Square Enix,0.05,,,,
front mission 3,ps,1999,Strategy,SquareSoft,0.52,,,,
front mission 4,ps2,2003,Strategy,Square Enix,0.54,75.0,39.0,8.6,22.0
front mission 5: scars of the war,ps2,2005,Strategy,Square Enix,0.21,,,,
front mission alternative,ps,1997,Strategy,SquareSoft,0.14,,,,
front mission evolved,pc,2010,Shooter,Square Enix,0.05,63.0,13.0,5.1,48.0
front mission evolved,ps3,2010,Shooter,Square Enix,0.29,58.0,42.0,6,30.0
front mission evolved,x360,2010,Shooter,Square Enix,0.2,58.0,52.0,6.1,24.0
front mission: gun hazard,snes,1996,Role-Playing,SquareSoft,0.24,,,,
frontier gate,psp,2011,Role-Playing,Konami Digital Entertainment,0.11,,,,
frontlines: fuel of war,pc,2008,Shooter,THQ,0.02,73.0,19.0,6.9,171.0
frontlines: fuel of war,x360,2008,Shooter,THQ,0.56,75.0,55.0,7.8,77.0
frostbite,2600,1983,Action,Activision,0.34,,,,
frozen: olaf's quest,3ds,2013,Platform,Disney Interactive Studios,0.6,,,,
frozen: olaf's quest,ds,2013,Platform,Disney Interactive Studios,0.52,,,,
fuel,pc,2009,Racing,Codemasters,0.02,67.0,16.0,6.7,86.0
fuel,ps3,2009,Racing,Codemasters,0.24,67.0,44.0,7.4,36.0
fuel,x360,2009,Racing,Codemasters,0.31,66.0,45.0,7,45.0
fugitive hunter: war on terror,ps2,2003,Shooter,Play It,0.15,35.0,15.0,5,23.0
fujiko f. fujio characters: great assembly! slightly fantastic slapstick party,3ds,2014,Action,Namco Bandai Games,0.01,,,,
full auto,x360,2006,Shooter,Sega,0.22,70.0,63.0,7.8,36.0
full auto 2: battlelines,ps3,2006,Racing,Sega,0.18,67.0,43.0,7.6,25.0
full auto 2: battlelines,psp,2007,Racing,Sega,0.01,,,,
full house kiss 2,ps2,2006,Adventure,Capcom,0.02,,,,
full spectrum warrior,ps2,2005,Strategy,THQ,0.3,74.0,24.0,8,13.0
full spectrum warrior,xb,2004,Strategy,THQ,0.73,84.0,67.0,8.7,27.0
full spectrum warrior: ten hammers,ps2,2006,Strategy,THQ,0.07,71.0,26.0,8,5.0
full spectrum warrior: ten hammers,xb,2006,Strategy,THQ,0.05,69.0,27.0,tbd,
fullmetal alchemist 2: curse of the crimson elixir,ps2,2004,Role-Playing,Square Enix,0.27,67.0,21.0,8.4,20.0
fullmetal alchemist and the broken angel,ps2,2003,Role-Playing,Square Enix,0.56,56.0,35.0,8.1,38.0
fullmetal alchemist: brotherhood,psp,,Action,Unknown,0.03,,,,
fullmetal alchemist: dual sympathy,ds,2005,Role-Playing,Empire Interactive,0.09,58.0,15.0,7.3,12.0
fullmetal alchemist: prince of the dawn,wii,2009,Adventure,Square Enix,0.01,,,,
fullmetal alchemist: trading card game,ds,2007,Misc,Destineer,0.01,61.0,7.0,7.5,4.0
funkmaster flex's digital hitz factory,ps2,2003,Misc,Jester Interactive,0.04,71.0,6.0,8.9,10.0
funky barn,3ds,2012,Simulation,Ubisoft,0.11,,,,
fur fighters: viggo's revenge,ps2,2001,Action,Acclaim Entertainment,0.14,64.0,15.0,7.3,37.0
furious karting,xb,2003,Racing,Atari,0.01,63.0,17.0,tbd,
furu furu park,wii,2007,Misc,Taito,0.05,43.0,16.0,4.8,5.0
fuse (insomniac),ps3,2013,Shooter,Electronic Arts,0.11,,,,
fuse (insomniac),x360,2013,Shooter,Electronic Arts,0.13,,,,
fushigi no dungeon: furai no shiren 2 - oni shuurai! shiren shiro!,n64,2000,Role-Playing,ChunSoft,0.37,,,,
fushigi no dungeon: fuurai no shiren 3 portable,psp,2010,Role-Playing,Spike,0.05,,,,
fushigi no dungeon: fuurai no shiren 5 - fortune tower to unmei no dice,ds,2010,Role-Playing,ChunSoft,0.04,,,,
fushigi no dungeon: fuurai no shiren gb: tsukikagemura no kaibutsu,gb,1996,Role-Playing,ChunSoft,0.27,,,,
fushigi? kagaku: nazotoki quiz training - nazotore,ds,2008,Misc,Benesse,0.05,,,,
futurama,ps2,2003,Platform,SCi,0.07,59.0,22.0,6.6,14.0
futurama,xb,2003,Platform,SCi,0.05,58.0,21.0,6.9,14.0
future card buddy fight: yuujou no bakunetsu fight,3ds,2015,Action,FuRyu,0.07,,,,
future cop l.a.p.d.,ps,1997,Simulation,Electronic Arts,0.3,,,,
future tactics: the uprising,gc,2004,Strategy,JoWood Productions,0.02,63.0,19.0,tbd,
future tactics: the uprising,ps2,2004,Strategy,Crave Entertainment,0.07,61.0,25.0,6,6.0
future tactics: the uprising,xb,2004,Strategy,JoWood Productions,0.03,61.0,24.0,tbd,
futureu: the prep game for sat,ds,2008,Misc,Aspyr,0.07,,,tbd,
fuun shinsengumi bakumatsuden portable,psp,2009,Action,From Software,0.01,,,,
fuuraiki 3,psv,2015,Action,Unknown,0.01,,,,
fuzion frenzy,xb,2001,Misc,Microsoft Game Studios,1.21,70.0,28.0,6.9,16.0
fuzion frenzy 2,x360,2007,Misc,Microsoft Game Studios,0.17,49.0,47.0,5.2,31.0
g darius,ps,1997,Shooter,THQ,0.07,,,,
g-force,ds,2009,Action,Disney Interactive Studios,0.53,,,9,5.0
g-force,ps2,2009,Action,Disney Interactive Studios,0.27,,,tbd,
g-force,ps3,2009,Action,Disney Interactive Studios,0.22,68.0,22.0,7.6,7.0
g-force,psp,2009,Action,Electronic Arts,0.35,,,8.8,4.0
g-force,wii,2009,Action,Disney Interactive Studios,0.44,69.0,6.0,8,6.0
g-force,x360,2009,Action,Disney Interactive Studios,0.17,68.0,33.0,7,9.0
g-police,ps,1997,Action,Psygnosis,0.24,,,,
g-police: weapons of justice,ps,1999,Action,Psygnosis,0.06,,,,
g-saviour,ps2,2000,Action,Sunrise Interactive,0.07,,,,
g.i. joe: the rise of cobra,ds,2009,Action,Electronic Arts,0.14,47.0,16.0,7.5,4.0
g.i. joe: the rise of cobra,ps2,2009,Action,Electronic Arts,0.14,50.0,4.0,2.3,6.0
g.i. joe: the rise of cobra,ps3,2009,Action,Electronic Arts,0.21,43.0,32.0,4.8,13.0
g.i. joe: the rise of cobra,psp,2009,Action,Electronic Arts,0.14,,,tbd,
g.i. joe: the rise of cobra,wii,2009,Action,Electronic Arts,0.22,51.0,11.0,tbd,
g.i. joe: the rise of cobra,x360,2009,Action,Electronic Arts,0.24,42.0,59.0,4.7,22.0
g1 grand prix,3ds,2012,Action,Genki,0.05,,,,
g1 jockey 2,ps2,2000,Sports,Tecmo Koei,0.06,,,,
g1 jockey 3,ps2,2002,Sports,THQ,0.1,71.0,12.0,9,10.0
g1 jockey 4 2007,ps2,2007,Sports,Tecmo Koei,0.01,,,,
g1 jockey 4 2008,ps3,2008,Sports,Tecmo Koei,0.01,,,,
g1 jockey wii,wii,2007,Sports,Tecmo Koei,0.02,,,,
ga - geijutsuka art design class: slapstick wonder land,psp,2010,Adventure,Russel,0.02,,,,
gabrielle's ghostly groove 3d,3ds,2011,Adventure,Funbox Media,0.11,62.0,9.0,7.4,9.0
gacharoku,ps2,2002,Misc,Sony Computer Entertainment,0.03,,,,
gachitora! abarenbou kyoushi in high school,psp,2011,Action,Spike,0.05,,,,
gadget racers,ps2,2000,Racing,Midas Interactive Entertainment,0.08,67.0,10.0,7.4,7.0
gadget racers (pal),ps2,2002,Racing,Zoo Digital Publishing,0.02,,,,
gaia saver hero saidai no sakusen,snes,1994,Role-Playing,Banpresto,0.03,,,,
gaist crusher,3ds,2013,Action,Capcom,0.05,,,,
gaist crusher god,3ds,2014,Action,Capcom,0.02,,,,
gakken ds: shin toeic test kanzen kouryaku,ds,2007,Misc,Gakken,0.02,,,,
gaku ? ou: the royal seven stars,psp,2012,Role-Playing,Alchemist,0.02,,,,
gakuen alice: wakuwaku * happy friends,ds,2007,Adventure,Kids Station,0.03,,,,
gakuen hetalia,ds,2012,Adventure,Idea Factory,0.01,,,,
gakuen hetalia portable,psp,2011,Adventure,Idea Factory,0.04,,,,
gakuen k: wonderful school days,psp,2014,Adventure,Idea Factory,0.02,,,,
gakusen toshi asterisk festa: houka kenran,psv,2016,Fighting,Namco Bandai Games,0.03,,,,
gal gun,ps3,2012,Shooter,Alchemist,0.02,,,,
gal gun: double peace,psv,2015,Action,PQube,0.04,,,8.1,10.0
gal*gun,x360,2011,Shooter,Alchemist,0.04,,,,
galactic attack,sat,1994,Shooter,Acclaim Entertainment,0.25,,,,
galactic taz ball,ds,2010,Platform,Warner Bros. Interactive Entertainment,0.09,,,,
galactic wrestling: featuring ultimate muscle,ps2,2004,Fighting,Namco Bandai Games,0.22,61.0,12.0,8,5.0
galaga: destination earth,ps,2000,Shooter,Hasbro Interactive,0.24,,,8,10.0
galaxian,2600,1982,Shooter,Atari,0.77,,,,
galaxy angel ii: eigou kaiki no koku,ps2,2009,Strategy,Broccoli,0.02,,,,
galaxy angel ii: mugen kairou no kagi,ps2,2007,Strategy,Broccoli,0.03,,,,
galaxy angel ii: zettairyouiki no tobira,ps2,2006,Strategy,Broccoli,0.03,,,,
galaxy fight,sat,1994,Fighting,Sunsoft,0.04,,,,
galaxy racers,ds,2010,Racing,Ubisoft,0.05,,,tbd,
gale racer,sat,1994,Racing,Sega,0.07,,,,
galerians,ps,1999,Adventure,Crave Entertainment,0.15,,,,
galerians: ash,ps2,2002,Adventure,Sammy Corporation,0.07,50.0,22.0,7.9,11.0
galidor: defenders of the outer dimension,gba,2002,Action,Electronic Arts,0.12,53.0,5.0,tbd,
galileo,ds,2008,Adventure,D3Publisher,0.03,,,,
galleon: islands of mystery,xb,2004,Action,SCi,0.03,67.0,40.0,7,10.0
gallop & ride!,wii,2008,Sports,THQ,0.14,,,,
gallop racer,ps,1999,Sports,Tecmo Koei,0.19,,,,
gallop racer (jp),ps,1996,Sports,Tecmo Koei,0.24,,,,
gallop racer 2000,ps,2000,Sports,Tecmo Koei,0.12,,,,
gallop racer 2001,ps2,2001,Sports,Tecmo Koei,0.17,71.0,11.0,9.1,56.0
gallop racer 2003: a new breed,ps2,2002,Sports,Zoo Digital Publishing,0.21,68.0,16.0,8.5,15.0
gallop racer 2004,ps2,2004,Sports,Zoo Digital Publishing,0.06,70.0,15.0,8.7,12.0
gallop racer 2006,ps2,2005,Sports,Tecmo Koei,0.1,69.0,15.0,8.3,8.0
gallop racer 2: one and only road to victory,ps,1997,Sports,Tecmo Koei,0.27,,,,
gallop racer inbreed,ps2,2006,Sports,Tecmo Koei,0.02,,,,
gambler densetsu tetsuya,ps2,2001,Adventure,Athena,0.07,,,,
game & wario,wiiu,2013,Misc,Nintendo,0.23,,,,
game & watch gallery,gb,1997,Misc,Nintendo,1.0,,,,
game & watch gallery 2,gb,1997,Misc,Nintendo,1.22,,,,
game & watch gallery 3,gb,1999,Misc,Nintendo,1.22,,,,
game & watch gallery 4,gba,2002,Misc,Nintendo,0.61,,,,
game book ds: sword world 2.0,ds,2009,Role-Playing,Broccoli,0.01,,,,
game center cx: 3-choume no arino,3ds,2014,Action,Namco Bandai Games,0.06,,,,
game center cx: arino no chousenjou 2,ds,2009,Action,Namco Bandai Games,0.07,,,,
game de hakken!! tamagotchi 2,gb,1997,Simulation,Namco Bandai Games,1.45,,,,
game hits!,ds,2010,Misc,Foreign Media Games,0.09,,,,
game no kanzume vol 1,scd,1994,Misc,Sega,0.05,,,,
game no kanzume vol 2,scd,1994,Misc,Sega,0.05,,,,
game of thrones,pc,2012,Role-Playing,Focus Home Interactive,0.08,58.0,23.0,6.5,345.0
game of thrones,ps3,2012,Role-Playing,Focus Home Interactive,0.24,53.0,14.0,5.5,81.0
game of thrones,x360,2012,Role-Playing,Focus Home Interactive,0.25,52.0,35.0,5.2,126.0
game of thrones (telltale),ps3,2015,Adventure,Telltale Games,0.04,,,,
game of thrones (telltale),ps4,2015,Adventure,Telltale Games,0.05,,,,
game of thrones (telltale),x360,2015,Adventure,Telltale Games,0.03,,,,
game of thrones (telltale),xone,2015,Adventure,Telltale Games,0.03,,,,
game party,wii,2007,Misc,Midway Games,2.48,25.0,8.0,4.3,26.0
game party 2,wii,2008,Misc,Midway Games,1.88,29.0,7.0,4.6,7.0
game party 3,wii,2009,Puzzle,Warner Bros. Interactive Entertainment,1.68,37.0,4.0,tbd,
game party in motion,x360,2010,Misc,Warner Bros. Interactive Entertainment,0.58,33.0,6.0,3.7,9.0
game party: champions,wiiu,2012,Action,Warner Bros. Interactive Entertainment,0.13,24.0,8.0,3.5,21.0
gameboy gallery,gb,1995,Misc,Nintendo,0.3,,,,
gameboy wars,gb,1991,Strategy,Nintendo,0.18,,,,
games around the world,ds,2010,Misc,Zoo Games,0.01,,,tbd,
games explosion!,gba,2006,Action,THQ,0.02,,,,
ganbare goemon 2: kiteretsu shougun magginesu,snes,1993,Platform,Konami Digital Entertainment,0.31,,,,
ganbare goemon 3: shishi jyuurokubei no karakuri manji katame,snes,1994,Platform,Konami Digital Entertainment,0.36,,,,
ganbare goemon! karakuri douchuu,nes,1986,Platform,Konami Digital Entertainment,1.2,,,,
ganbare goemon: kirakira douchuu - boku ga dancer ni natta riyuu,snes,1995,Platform,Konami Digital Entertainment,0.31,,,,
ganbare goemon: toukai douchuu ooedo tengurigaeshi no maki,ds,2005,Action,Konami Digital Entertainment,0.03,,,,
ganbaru watashi no kakei diary,ds,2007,Misc,Nintendo,0.61,,,,
gangs of london,psp,2006,Adventure,Sony Computer Entertainment,0.95,52.0,47.0,6.7,18.0
gardening guide: how to get green fingers,ds,2009,Misc,Mindscape,0.01,,,,
gardening mama,ds,2009,Puzzle,505 Games,1.35,60.0,17.0,9.3,4.0
garfield gets real,ds,2009,Action,Zushi Games,0.02,39.0,4.0,tbd,
garfield's fun fest,ds,2008,Platform,Zoo Digital Publishing,0.11,44.0,5.0,tbd,
garfield's nightmare,ds,2007,Platform,Game Factory,0.02,70.0,9.0,tbd,
garfield: a tale of two kitties,ds,2006,Platform,Game Factory,0.03,59.0,7.0,tbd,
garfield: lasagna world tour,ps2,2007,Action,Blast! Entertainment Ltd,0.17,,,tbd,
garfield: the search for pooky,gba,2003,Platform,Game Factory,0.04,,,,
garou densetsu 3: road to the final victory,sat,1996,Fighting,SNK,0.05,,,,
gauntlet,2600,1982,Action,Answer Software,0.5,,,,
gauntlet / rampart,gba,2005,Misc,Zoo Digital Publishing,0.03,,,tbd,
gauntlet legends,n64,1999,Action,Midway Games,0.54,,,,
gauntlet legends,ps,2000,Action,Midway Games,0.47,,,,
gauntlet: dark legacy,gc,2002,Action,Midway Games,0.18,60.0,20.0,9.1,16.0
gauntlet: dark legacy,ps2,2001,Action,Midway Games,1.15,73.0,15.0,8.3,30.0
gauntlet: dark legacy,xb,2002,Action,Midway Games,0.17,54.0,9.0,8.9,10.0
gauntlet: seven sorrows,ps2,2005,Role-Playing,Midway Games,0.4,59.0,38.0,5.7,20.0
gauntlet: seven sorrows,xb,2005,Role-Playing,Midway Games,0.18,61.0,36.0,7.8,4.0
gears of war,pc,2007,Shooter,Microsoft Game Studios,0.02,87.0,36.0,7.8,567.0
gears of war,x360,2006,Shooter,Microsoft Game Studios,6.09,94.0,88.0,8.3,2295.0
gears of war 2,x360,2008,Shooter,Microsoft Game Studios,6.75,93.0,90.0,7.7,2739.0
gears of war 3,x360,2011,Shooter,Microsoft Game Studios,6.21,91.0,96.0,7.8,1504.0
gears of war 4,xone,2016,Shooter,Microsoft Game Studios,1.35,84.0,96.0,6.2,815.0
gears of war: judgment,x360,2013,Shooter,Microsoft Game Studios,1.57,79.0,81.0,5.4,779.0
gears of war: ultimate edition,xone,2015,Shooter,Microsoft Game Studios,3.28,82.0,74.0,7.5,563.0
gegege no kitarou 2: youkai gundan no chousen,nes,1987,Role-Playing,Namco Bandai Games,1.25,,,,
gegege no kitarou: youkai daigekisen,ds,2008,Action,Namco Bandai Games,0.06,,,,
geist,gc,2005,Adventure,Nintendo,0.15,66.0,43.0,8.5,23.0
gekiatsu!! pachi game tamashi max: evangelion 7 x seimei no kodou,ps3,2012,Misc,Fields,0.03,,,,
gekiatsu!! pachi game tamashi vol. 1: cr evangelion - shinjitsu no tsubasa,psp,2011,Misc,Unknown,0.03,,,,
gekiatsu!! pachi game tamashi vol. 2: cr evangelion - shinjitsu no tsubasa,ps3,2011,Misc,Unknown,0.03,,,,
gekiatsu!! pachi game tamashi: cr evangelion - hajimari no fukuin,ps3,2010,Misc,Unknown,0.03,,,,
gekido,ps,1999,Fighting,Infogrames,0.1,,,,
gekido advance: kintaro's revenge,gba,2002,Action,Zoo Digital Publishing,0.03,70.0,7.0,7,4.0
gekijouban macross f: itsuwarino utahime - hybrid pack,ps3,2010,Action,Namco Bandai Games,0.21,,,,
gekijouban macross f: sayonara no tsubasa - hybrid pack,ps3,2011,Action,Namco Bandai Games,0.22,,,,
gekijouban madoka magicka: the battle pentagram,psv,2013,Action,Namco Bandai Games,0.08,,,,
gekikuukan pro yakyuu: at the end of the century 1999,ps2,2000,Sports,SquareSoft,0.54,,,,
gekka ryouran romance,psp,2011,Adventure,Idea Factory,0.02,,,,
gem quest: 4 elements,ds,2011,Puzzle,Mastertronic,0.1,,,tbd,
gem smashers,3ds,2011,Platform,Crave Entertainment,0.04,,,tbd,
gem smashers,wii,2011,Platform,Crave Entertainment,0.05,,,tbd,
generation of chaos,psp,2005,Role-Playing,Midas Interactive Entertainment,0.06,60.0,29.0,7.7,18.0
generator rex: agent of providence,3ds,2011,Action,Activision,0.1,,,tbd,
generator rex: agent of providence,ds,2011,Action,Activision,0.07,,,tbd,
generator rex: agent of providence,ps3,2011,Action,Activision,0.07,,,tbd,
generator rex: agent of providence,wii,2011,Action,Activision,0.08,,,tbd,
generator rex: agent of providence,x360,2011,Action,Activision,0.06,,,4,6.0
genji: dawn of the samurai,ps2,2005,Action,Sony Computer Entertainment,0.23,74.0,49.0,8.3,19.0
genji: days of the blade,ps3,2006,Action,Sony Computer Entertainment,0.75,55.0,46.0,5.8,30.0
genkai tokki monster monpiece,psv,2013,Strategy,Idea Factory,0.06,,,,
genkai tokki: moero crystal,psv,2015,Role-Playing,Compile Heart,0.06,,,,
genkai tokki: seven pirates,psv,2016,Role-Playing,Compile Heart,0.03,,,,
genkai totsuki moero chronicle,psv,2014,Role-Playing,Compile Heart,0.08,,,,
genma onimusha,xb,2002,Action,Capcom,0.24,83.0,27.0,8.6,10.0
genroh,psp,2012,Action,Idea Factory,0.02,,,,
gensou suikoden i & ii,psp,2006,Role-Playing,Konami Digital Entertainment,0.03,,,,
geometry wars: galaxies,ds,2007,Shooter,Vivendi Games,0.14,79.0,36.0,7.9,26.0
geometry wars: galaxies,wii,2007,Shooter,Vivendi Games,0.12,80.0,55.0,8.2,26.0
geon cube,wii,2009,Puzzle,P2 Games,0.02,,,tbd,
george of the jungle and the search for the secret,ds,2008,Platform,Ignition Entertainment,0.05,44.0,4.0,,
george of the jungle and the search for the secret,wii,2008,Platform,Ignition Entertainment,0.02,35.0,10.0,4,6.0
germany's next topmodel 2011,ds,2011,Simulation,7G//AMES,0.02,,,,
germany's next topmodel 2011,wii,2011,Simulation,7G//AMES,0.02,,,,
get fit with mel b,ps3,2010,Sports,Black Bean Games,0.38,73.0,4.0,5.8,4.0
get fit with mel b,wii,2010,Sports,Black Bean Games,0.08,,,tbd,
get fit with mel b,x360,,Sports,Black Bean Games,0.08,57.0,7.0,,
get on da mic,ps2,2004,Misc,Eidos Interactive,0.15,49.0,29.0,6.3,7.0
get up and dance,ps3,2011,Misc,O-Games,0.04,,,tbd,
get up and dance,wii,2011,Misc,O-Games,0.11,,,tbd,
geten no hana,psp,2013,Misc,Tecmo Koei,0.02,,,,
geten no hana: yume akari,psp,2014,Misc,Tecmo Koei,0.01,,,,
getsuei gakuen: kou,psv,2013,Adventure,Arc System Works,0.01,,,,
gex,ps,1995,Platform,Crystal Dynamics,0.87,,,,
gex 3: deep cover gecko,n64,1999,Platform,Crave Entertainment,0.21,,,,
gex 3: deep cover gecko,ps,1999,Platform,Eidos Interactive,0.53,,,,
gex 64: enter the gecko,n64,1998,Action,GT Interactive,0.25,,,,
gex: enter the gecko,ps,1998,Platform,BMG Interactive Entertainment,0.58,,,,
ghost in the shell,ps,1997,Simulation,Sony Computer Entertainment,0.1,,,,
ghost in the shell: stand alone complex,ps2,2004,Adventure,Namco Bandai Games,0.16,,,,
ghost in the shell: stand alone complex,psp,2005,Adventure,Atari,0.07,61.0,23.0,7.4,14.0
ghost pirates of vooju island,pc,2009,Adventure,DTP Entertainment,0.02,66.0,14.0,tbd,
ghost rider,psp,2007,Action,Take-Two Interactive,0.24,49.0,17.0,5.7,13.0
ghost squad,wii,2007,Shooter,Sega,0.77,69.0,42.0,7.5,31.0
ghost trick: phantom detective,ds,2010,Adventure,Capcom,0.38,83.0,60.0,9,127.0
ghostbusters,2600,1985,Puzzle,Activision,0.45,,,,
ghostbusters (2016),ps4,2016,Action,Activision,0.05,,,,
ghostbusters (2016),xone,2016,Action,Activision,0.05,,,,
ghostbusters ii,2600,,Action,Activision,0.21,,,,
ghostbusters: the video game,ds,2009,Action,Atari,0.4,55.0,17.0,6,7.0
ghostbusters: the video game,ps2,2009,Action,Atari,0.43,64.0,9.0,8.7,6.0
ghostbusters: the video game,ps3,2009,Action,Sony Computer Entertainment,0.84,78.0,74.0,7.9,96.0
ghostbusters: the video game,psp,2009,Action,Atari,0.18,54.0,13.0,4.7,13.0
ghostbusters: the video game,wii,2009,Action,Atari,0.86,76.0,29.0,8.5,28.0
ghostbusters: the video game,x360,2009,Action,Atari,0.63,79.0,53.0,8.5,125.0
ghostbusters: the video game (ds version),pc,2010,Action,Take-Two Interactive,0.09,,,,
ghostbusters: the video game (ds version),ps3,2010,Action,Take-Two Interactive,2.05,,,,
ghostbusters: the video game (ds version),x360,2009,Action,Take-Two Interactive,2.56,,,,
ghosthunter,ps2,2003,Action,Sony Computer Entertainment,0.09,69.0,44.0,8.7,22.0
ghosts 'n goblins,nes,1986,Action,Capcom,1.64,,,,
giants: citizen kabuto,ps2,2001,Shooter,Interplay,0.06,79.0,15.0,6.9,8.0
gift: prism,ps2,2006,Adventure,Sweets,0.02,,,,
giftpia,gc,,Role-Playing,Unknown,0.11,,,,
ginga fukei densetsu: sapphire,tg16,1995,Shooter,Hudson Soft,0.02,,,,
ginga tetsudou 999 ds,ds,2010,Adventure,Culture Brain,0.02,,,,
gintama ds: yorozuya daisoudou,ds,2006,Action,Namco Bandai Games,0.07,,,,
gintama gin-oh quest: gin-san ga tenshoku shitari sekai wo sukuttari,ds,2007,Role-Playing,Banpresto,0.08,,,,
gintama no sugoroku,psp,2013,Action,Namco Bandai Games,0.06,,,,
gintama: banji oku chuubu!,wii,2007,Action,Namco Bandai Games,0.03,,,,
gintama: gin-san to issho! boku no kabuki machi nikki,ps2,2007,Action,Namco Bandai Games,0.08,,,,
girl friend beta: kimi to sugosu natsuyasumi,psv,2015,Action,Namco Bandai Games,0.02,,,,
girl time,ds,2009,Simulation,THQ,0.11,,,tbd,
girls mode 3: kirakira code,3ds,2015,Action,Nintendo,0.23,,,,
girls only,ds,2010,Simulation,Foreign Media Games,0.03,,,,
girls rpg: cinderellife,3ds,2012,Role-Playing,Level 5,0.06,,,,
girls und panzer: i will master tankery,psv,2014,Action,Namco Bandai Games,0.09,,,,
gitaroo man,ps2,2001,Misc,THQ,0.05,82.0,21.0,8.7,25.0
gitaroo man lives!,psp,2006,Misc,Tecmo Koei,0.04,,,,
glacier2,wii,2009,Racing,Zoo Games,0.04,,,,
gladiator begins,psp,2010,Action,PQube,0.12,59.0,9.0,8,14.0
gladiator: sword of vengeance,ps2,2003,Action,Acclaim Entertainment,0.12,65.0,19.0,5.8,8.0
gladiator: sword of vengeance,xb,2003,Action,Acclaim Entertainment,0.05,65.0,25.0,7.1,7.0
gladius,gc,2003,Strategy,Activision,0.07,82.0,19.0,8.8,12.0
gladius,ps2,2003,Strategy,Activision,0.2,78.0,27.0,8,22.0
gladius,xb,2003,Strategy,Activision,0.14,79.0,31.0,8.5,22.0
global defence force,ps2,2005,Shooter,Essential Games,0.17,,,,
global touring challenge: africa,ps2,2001,Racing,Rage Software,0.1,64.0,12.0,tbd,
gloria union,psp,2011,Role-Playing,Atlus,0.03,,,,
glory days 2,ds,2007,Strategy,Ghostlight,0.09,73.0,28.0,7.3,6.0
glory of heracles,ds,2008,Role-Playing,Nintendo,0.29,69.0,23.0,7.3,18.0
glover,n64,1998,Platform,Hasbro Interactive,0.91,,,,
glover,ps,1999,Platform,Atari,0.17,,,,
go diego go! great dinosaur rescue,ds,2008,Action,Take-Two Interactive,0.47,,,,
go diego go! great dinosaur rescue,wii,2008,Action,Take-Two Interactive,0.58,,,,
go diego go! safari rescue,wii,2008,Action,Take-Two Interactive,0.52,,,,
go diego go!: safari rescue,ps2,2008,Action,Take-Two Interactive,0.04,,,,
go go ackman 3,snes,1995,Platform,Banpresto,0.04,,,,
go play: circus star,wii,2009,Action,Majesco Entertainment,0.12,,,tbd,
go play: city sports,wii,2009,Sports,Majesco Entertainment,0.09,,,tbd,
go play: lumberjacks,wii,2009,Simulation,Majesco Entertainment,0.18,,,tbd,
go vacation,wii,2011,Misc,Namco Bandai Games,1.53,64.0,28.0,7.8,13.0
go! go! hypergrind,gc,2003,Sports,Atlus,0.03,,,,
go! sudoku,psp,2005,Puzzle,Sony Computer Entertainment,0.12,,,,
go! sudoku (jp sales),psp,2005,Puzzle,Sony Computer Entertainment,0.11,,,,
"go, diego, go! safari rescue",ds,2007,Adventure,Take-Two Interactive,0.15,,,,
"go, diego, go!: great dinosaur rescue",ps2,2008,Action,Take-Two Interactive,0.32,,,,
goal storm '97,ps,1996,Sports,Konami Digital Entertainment,0.11,,,,
